date,portfolio_value,cash,positions_value,daily_return,daily_pnl,cumulative_return,cumulative_pnl,num_positions
2013-10-24,70606.12103903033,36489.243352970894,34116.87768605944,0.0032663487285330937,229.87336710213276,-0.29393878960969666,-29393.87896096967,7
2013-10-25,70629.82733057221,37278.42286507601,33351.4044654962,0.0003357540563483808,23.70629154187918,-0.2937017266942779,-29370.17266942779,7
2013-10-28,70655.08416345848,44915.437002710554,25739.647160747925,0.0003575944305804145,25.256832886268967,-0.2934491583654152,-29344.91583654152,6
2013-10-29,70616.58396806396,47687.379153633585,22929.204814430377,-0.0005449033972622328,-38.500195394517505,-0.2938341603193604,-29383.416031936038,6
2013-10-30,70508.38843903478,52726.17287471024,17782.215564324542,-0.0015321546717427129,-108.19552902918076,-0.2949161156096522,-29491.61156096522,4
2013-10-31,70422.18753466767,55443.38824604387,14978.799288623799,-0.0012225623968366124,-86.20090436711325,-0.2957781246533233,-29577.812465332332,3
2013-11-01,70444.9027540667,53643.793447221804,16801.109306844897,0.0003225577079361658,22.71521939903323,-0.295550972459333,-29555.0972459333,5
2013-11-04,70444.86193453173,60462.82499840858,9982.03693612315,-5.794533511702603e-07,-0.04081953497370705,-0.2955513806546827,-29555.138065468273,3
2013-11-05,70427.26140259055,59715.274943256525,10711.986459334024,-0.00024984834177878073,-17.600531941177906,-0.2957273859740945,-29572.73859740945,3
2013-11-06,70509.40166242063,58967.01261028236,11542.389052138264,0.0011663134160581747,82.14025983007741,-0.2949059833757937,-29490.598337579373,3
2013-11-07,70442.92459205535,58037.92557139441,12404.999020660944,-0.0009428114378781629,-66.47707036527572,-0.2955707540794465,-29557.07540794465,4
2013-11-08,70359.0354170624,45360.47013338015,24998.565283682256,-0.0011908814899262055,-83.88917499294621,-0.29640964582937596,-29640.964582937595,7
2013-11-11,70291.24149261066,49492.06313494717,20799.178357663484,-0.0009635425507170482,-67.79392445174744,-0.29708758507389343,-29708.758507389342,6
2013-11-12,70246.25626642842,44852.234626114536,25394.021640313884,-0.0006399833781135737,-44.985226182237966,-0.2975374373357158,-29753.74373357158,6
